event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
953124,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,福岡県,スタンダード,64,16
953125,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,福岡県,スタンダード,64,16
953126,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,沖縄県,スタンダード,64,16
953127,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,長崎県,スタンダード,64,16
953128,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,福岡県,スタンダード,64,16
953129,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,福岡県,スタンダード,64,16
953130,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,鹿児島県,スタンダード,64,16
953131,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-10,福岡県,スタンダード,64,16
953132,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,佐賀県,スタンダード,64,16
953133,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,宮崎県,スタンダード,64,16
953134,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,沖縄県,スタンダード,64,16
953135,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,福岡県,スタンダード,64,16
953136,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,鹿児島県,スタンダード,64,16
